community,population,median_income,area_sqmi,density
ALBANY PARK,45538.0,86836.74214941368,1.9205632607555034,23710.752428996504
ARCHER HEIGHTS,13414.0,67303.92665663983,2.0059438744844886,6687.1262803637965
ARMOUR SQUARE,13848.0,44607.326978625075,0.9959752385393865,13903.960122852362
ASHBURN,42007.0,84085.39352964982,4.858971002008966,8645.246078363505
AUBURN GRESHAM,43779.0,48686.68299869801,3.7687009864732275,11616.469483021694
AUSTIN,97452.0,52411.122954250095,7.14726108342599,13634.873395906094
AVALON PARK,9071.0,61113.38033292911,1.2501699426778374,7255.813542093414
AVONDALE,35533.0,92274.49615850055,1.983277213262665,17916.30527612683
BELMONT CRAGIN,72088.0,70209.26754799689,3.9134030169491316,18420.796347266943
BEVERLY,19521.0,131824.39229547666,3.18452149051438,6129.96334241942
BRIDGEPORT,33675.0,78067.55159613957,2.090920542979321,16105.346572384333
BRIGHTON PARK,42994.0,64839.42573382332,2.7222792662718756,15793.38333604535
BURNSIDE,2304.0,47054.0,0.6096470123975256,3779.2361040845335
CALUMET HEIGHTS,11229.0,64925.16279276872,1.751400423089493,6411.440725925998
CHATHAM,29895.0,48579.47048001338,2.952847734997375,10124.125143901663
CHICAGO LAWN,54409.0,54416.98391810178,3.5252907303239844,15433.904367654708
CLEARING,23629.0,80559.70650471878,2.5519826234303653,9259.075584236536
DOUGLAS,21088.0,61797.45266737729,1.6501887177627932,12779.144453605033
DUNNING,41233.0,87863.2120631533,3.715959350413765,11096.192426165477
EAST GARFIELD PARK,20731.0,40074.89428571428,1.932794594946101,10725.919895579033
EAST SIDE,22687.0,64191.09128575836,2.9858861352620982,7598.079421742101
EDGEWATER,56563.0,76628.52493679614,1.7379042854045672,32546.671571635306
EDISON PARK,11558.0,130037.08980792525,1.1347966088513217,10185.085071499629
ENGLEWOOD,23195.0,31831.310885966803,3.0723543340397255,7549.584936546609
FOREST GLEN,19901.0,138666.050851716,3.197130883362515,6224.643508829248
FULLER PARK,2270.0,19938.614537444933,0.7144134837486367,3177.4316297740675
GAGE PARK,36081.0,62481.47831268534,2.1982931625006,16413.188475261042
GARFIELD RIDGE,36732.0,93994.8348851138,4.228749799352388,8686.255215578212
GRAND BOULEVARD,25181.0,59662.148723243714,1.739429204906127,14476.588026104208
GREATER GRAND CROSSING,29143.0,42430.190749064954,3.54586947924686,8218.858638358553
HEGEWISCH,8853.0,61827.45385744945,5.235800526894615,1690.8589153702476
HERMOSA,22576.0,70769.61113571934,1.1694379662804426,19305.000052124233
HUMBOLDT PARK,56153.0,58668.9813010881,3.6042554982616517,15579.639131322083
HYDE PARK,20071.0,79835.87813262916,1.6179328858366544,12405.335336033437
IRVING PARK,53332.0,94018.47074926873,3.2143660429980248,16591.76313045464
JEFFERSON PARK,26649.0,96865.33603512327,2.326825128745467,11452.944903671423
KENWOOD,12580.0,74945.04786545924,1.042805251474841,12063.613970305661
LAKE VIEW,102827.0,120923.3922024371,3.1284004553914078,32868.87387539869
LINCOLN PARK,67987.0,158657.5288216865,3.167914961238517,21461.1190110419
LINCOLN SQUARE,41651.0,91671.72485654606,2.5594125999321635,16273.655916636477
LOGAN SQUARE,72375.0,113413.8550328152,3.5890713484480696,20165.38345811801
LOOP,42550.0,119665.97059929495,1.6620597110921727,25600.764952084388
